          0.1uF	 13	               	"C1, C2, C3, C4, C5, C6, C10, C11, C13, C14, C15, C16, C17"
         0.33uF	  2	               	"C9, C12"
            10k	  5	               	"R3, R4, R5, R6, R7"
          16MHz	  1	               	"X1"
             1k	  2	               	"R1, R2"
           22pF	  2	               	"C7, C8"
          500mA	  1	               	"F1"
        ADG3304	  1	               	"U4"
         AP7313	  1	               	"U3"
    ATMEGA328-P	  1	          DIL28	"IC1"
         CONN_2	  3	               	"P1, P2, P3"
         CONN_3	  1	               	"K1"
         CONN_4	  1	               	"P5"
         CONN_8	  2	               	"P4, P6"
          DIODE	  1	               	"D1"
        FT232RL	  1	               	"U1"
            LED	  2	               	"D2, D3"
         LM7805	  2	               	"U2, U6"
       SN754410	  1	               	"U5"
          USB_2	  1	               	"J1"
